"age","gender","country","E1","E2","E3","N1","N2","N3","A1","A2","A3","C1","C2","C3","O1","O2","O3","extroversion","neurotocism","agreeableness","conscientiousness","openness"
21,"Male","CA",3,4,4,3,3,2,4,4,3,3,5,4,4,5,3,"3, 4, 4","3, 3, 2","4 4 3","3 5 4","4 5 3"
52,"Female","US",3,4,2,4,4,2,4,5,4,3,4,2,4,4,4,"3, 4, 2","4, 4, 2","4 5 4","3 4 2","4 4 4"
19,"Female","GR",1,2,2,5,4,3,4,5,4,4,5,2,5,5,5,"1, 2, 2","5, 4, 3","4 5 4","4 5 2","5 5 5"
48,"Male","US",5,4,5,3,4,3,5,4,5,2,2,5,5,4,5,"5, 4, 5","3, 4, 3","5 4 5","2 2 5","5 4 5"
22,"Male","US",3,4,2,4,4,2,2,3,3,3,3,3,4,3,3,"3, 4, 2","4, 4, 2","2 3 3","3 3 3","4 3 3"
17,"Female","US",2,3,2,5,5,4,5,4,3,2,3,3,3,3,5,"2, 3, 2","5, 5, 4","5 4 3","2 3 3","3 3 5"
37,"Male","DK",3,3,2,1,4,3,4,4,4,4,4,2,4,4,3,"3, 3, 2","1, 4, 3","4 4 4","4 4 2","4 4 3"
19,"Female","US",4,1,4,4,5,4,5,5,4,1,3,1,5,3,5,"4, 1, 4","4, 5, 4","5 5 4","1 3 1","5 3 5"
22,"Female","US",2,3,3,5,5,2,3,4,5,3,5,3,5,5,5,"2, 3, 3","5, 5, 2","3 4 5","3 5 3","5 5 5"
25,"Male","US",4,4,4,2,4,2,4,4,4,4,4,4,2,4,4,"4, 4, 4","2, 4, 2","4 4 4","4 4 4","2 4 4"
20,"Female","US",5,4,5,4,4,4,5,4,4,2,1,1,4,4,4,"5, 4, 5","4, 4, 4","5 4 4","2 1 1","4 4 4"
15,"Female","GB",1,3,3,3,4,3,3,3,3,2,3,2,4,3,3,"1, 3, 3","3, 4, 3","3 3 3","2 3 2","4 3 3"
46,"Female","US",1,3,3,4,5,5,3,5,3,5,5,4,4,5,3,"1, 3, 3","4, 5, 5","3 5 3","5 5 4","4 5 3"
15,"Male","GB",1,2,2,1,4,2,5,5,1,5,5,2,5,5,5,"1, 2, 2","1, 4, 2","5 5 1","5 5 2","5 5 5"
18,"Female","US",2,3,4,2,3,2,4,4,5,4,4,4,5,4,5,"2, 3, 4","2, 3, 2","4 4 5","4 4 4","5 4 5"
42,"Male","US",2,2,2,3,3,2,3,3,2,3,3,2,3,4,4,"2, 2, 2","3, 3, 2","3 3 2","3 3 2","3 4 4"
27,"Female","US",1,2,2,3,5,2,4,4,3,4,5,4,4,4,4,"1, 2, 2","3, 5, 2","4 4 3","4 5 4","4 4 4"
17,"Male","US",5,1,5,1,1,1,1,1,5,5,5,1,5,5,5,"5, 1, 5","1, 1, 1","1 1 5","5 5 1","5 5 5"
17,"Female","US",4,3,3,5,5,5,5,4,3,4,4,4,1,4,2,"4, 3, 3","5, 5, 5","5 4 3","4 4 4","1 4 2"
17,"Female","US",2,2,2,3,4,3,3,4,3,4,5,2,4,4,5,"2, 2, 2","3, 4, 3","3 4 3","4 5 2","4 4 5"
60,"Female","US",3,5,5,2,5,4,5,5,5,5,5,5,4,5,5,"3, 5, 5","2, 5, 4","5 5 5","5 5 5","4 5 5"
27,"Female","CA",1,4,3,4,5,5,5,5,5,5,4,4,5,5,2,"1, 4, 3","4, 5, 5","5 5 5","5 4 4","5 5 2"
19,"Female","US",4,4,5,5,4,3,4,4,4,5,3,5,4,4,5,"4, 4, 5","5, 4, 3","4 4 4","5 3 5","4 4 5"
20,"Male","US",1,2,2,3,3,2,3,2,3,3,4,2,5,3,3,"1, 2, 2","3, 3, 2","3 2 3","3 4 2","5 3 3"
19,"Male","IN",2,5,5,1,2,1,5,4,5,5,5,5,3,5,4,"2, 5, 5","1, 2, 1","5 4 5","5 5 5","3 5 4"
26,"Female","US",1,1,1,5,5,5,3,4,3,1,2,3,5,2,4,"1, 1, 1","5, 5, 5","3 4 3","1 2 3","5 2 4"
24,"Male","MX",1,3,4,4,5,4,3,4,2,4,4,2,5,5,5,"1, 3, 4","4, 5, 4","3 4 2","4 4 2","5 5 5"
19,"Female","US",1,2,1,5,5,4,4,5,2,4,5,4,4,4,4,"1, 2, 1","5, 5, 4","4 5 2","4 5 4","4 4 4"
18,"Female","GB",2,2,2,5,5,5,2,2,3,1,3,2,5,4,5,"2, 2, 2","5, 5, 5","2 2 3","1 3 2","5 4 5"
14,"Female","US",2,2,4,4,4,5,4,2,2,2,5,2,4,3,5,"2, 2, 4","4, 4, 5","4 2 2","2 5 2","4 3 5"
25,"Female","IN",2,4,4,5,2,2,5,5,5,5,4,4,1,4,4,"2, 4, 4","5, 2, 2","5 5 5","5 4 4","1 4 4"
47,"Male","US",4,3,2,4,4,3,5,2,3,5,4,4,4,4,5,"4, 3, 2","4, 4, 3","5 2 3","5 4 4","4 4 5"
18,"Male","US",2,2,2,4,4,4,2,4,3,3,3,2,4,4,3,"2, 2, 2","4, 4, 4","2 4 3","3 3 2","4 4 3"
23,"Male","SE",2,4,2,5,5,5,4,2,3,4,5,5,5,3,4,"2, 4, 2","5, 5, 5","4 2 3","4 5 5","5 3 4"
14,"Other","GB",2,2,2,5,4,3,4,3,2,2,3,2,3,4,2,"2, 2, 2","5, 4, 3","4 3 2","2 3 2","3 4 2"
20,"Female","US",1,2,1,5,5,4,5,5,3,4,2,4,5,5,4,"1, 2, 1","5, 5, 4","5 5 3","4 2 4","5 5 4"
35,"Female","US",4,5,5,5,5,5,5,5,5,2,5,5,5,5,5,"4, 5, 5","5, 5, 5","5 5 5","2 5 5","5 5 5"
34,"Female","US",4,4,5,2,4,3,5,5,4,4,4,4,4,3,3,"4, 4, 5","2, 4, 3","5 5 4","4 4 4","4 3 3"
36,"Female","JO",5,5,5,5,5,5,5,5,5,4,5,2,5,2,3,"5, 5, 5","5, 5, 5","5 5 5","4 5 2","5 2 3"
15,"Male","US",3,3,2,4,4,4,4,4,2,3,4,2,5,2,4,"3, 3, 2","4, 4, 4","4 4 2","3 4 2","5 2 4"
20,"Male","US",4,4,4,1,2,2,5,5,4,4,5,3,3,4,4,"4, 4, 4","1, 2, 2","5 5 4","4 5 3","3 4 4"
54,"Female","CA",2,4,2,3,3,1,3,3,5,4,5,4,5,4,5,"2, 4, 2","3, 3, 1","3 3 5","4 5 4","5 4 5"
47,"Male","US",2,5,4,3,4,2,4,5,4,2,3,2,4,5,4,"2, 5, 4","3, 4, 2","4 5 4","2 3 2","4 5 4"
17,"Male","IN",3,4,3,5,5,5,5,5,5,3,5,3,5,3,3,"3, 4, 3","5, 5, 5","5 5 5","3 5 3","5 3 3"
45,"Male","US",4,4,3,2,4,2,3,5,5,4,5,5,4,5,3,"4, 4, 3","2, 4, 2","3 5 5","4 5 5","4 5 3"
32,"Female","US",2,5,4,5,5,4,4,4,2,4,5,5,2,4,2,"2, 5, 4","5, 5, 4","4 4 2","4 5 5","2 4 2"
23,"Female","NO",3,5,5,3,4,3,5,5,4,2,4,1,4,4,3,"3, 5, 5","3, 4, 3","5 5 4","2 4 1","4 4 3"
23,"Female","US",4,4,4,4,5,2,5,5,5,3,4,3,4,4,4,"4, 4, 4","4, 5, 2","5 5 5","3 4 3","4 4 4"
14,"Female","US",1,2,4,5,5,5,3,5,3,4,3,5,5,4,5,"1, 2, 4","5, 5, 5","3 5 3","4 3 5","5 4 5"
19,"Male","IE",5,2,2,4,5,3,4,5,3,3,3,2,5,5,4,"5, 2, 2","4, 5, 3","4 5 3","3 3 2","5 5 4"
15,"Female","NZ",1,2,3,5,5,5,5,5,3,3,3,3,4,3,3,"1, 2, 3","5, 5, 5","5 5 3","3 3 3","4 3 3"
49,"Female","FI",3,4,5,4,4,2,4,4,4,2,3,2,4,5,4,"3, 4, 5","4, 4, 2","4 4 4","2 3 2","4 5 4"
47,"Female","US",1,2,1,5,3,4,4,4,5,3,5,3,5,5,5,"1, 2, 1","5, 3, 4","4 4 5","3 5 3","5 5 5"
23,"Female","BE",3,4,4,5,5,5,5,5,5,4,5,3,3,4,3,"3, 4, 4","5, 5, 5","5 5 5","4 5 3","3 4 3"
19,"Female","FI",1,2,2,5,5,4,2,2,2,4,5,4,5,4,4,"1, 2, 2","5, 5, 4","2 2 2","4 5 4","5 4 4"
36,"Male","US",3,1,5,4,5,3,5,4,3,5,4,5,3,4,4,"3, 1, 5","4, 5, 3","5 4 3","5 4 5","3 4 4"
21,"Female","GB",2,4,4,5,5,5,5,5,3,4,2,2,5,5,4,"2, 4, 4","5, 5, 5","5 5 3","4 2 2","5 5 4"
21,"Female","BE",3,3,5,5,5,5,5,5,3,3,5,5,5,5,5,"3, 3, 5","5, 5, 5","5 5 3","3 5 5","5 5 5"
13,"Male","GB",3,3,3,5,5,5,2,3,4,3,4,3,4,4,3,"3, 3, 3","5, 5, 5","2 3 4","3 4 3","4 4 3"
21,"Female","US",3,3,3,3,3,3,3,4,4,3,4,3,4,4,4,"3, 3, 3","3, 3, 3","3 4 4","3 4 3","4 4 4"
32,"Male","HR",4,5,5,1,3,1,4,4,5,5,5,5,3,5,3,"4, 5, 5","1, 3, 1","4 4 5","5 5 5","3 5 3"
33,"Female","US",4,5,5,3,4,3,5,5,5,3,4,4,5,5,5,"4, 5, 5","3, 4, 3","5 5 5","3 4 4","5 5 5"
33,"Male","US",3,4,4,2,2,4,4,4,4,4,4,4,4,4,4,"3, 4, 4","2, 2, 4","4 4 4","4 4 4","4 4 4"
16,"Male","GB",2,2,2,3,4,4,3,4,2,2,3,3,5,4,3,"2, 2, 2","3, 4, 4","3 4 2","2 3 3","5 4 3"
21,"Female","BE",3,2,4,4,5,3,1,4,4,3,5,2,5,5,4,"3, 2, 4","4, 5, 3","1 4 4","3 5 2","5 5 4"
31,"Female","NO",3,5,5,1,2,2,3,4,3,3,2,2,3,5,5,"3, 5, 5","1, 2, 2","3 4 3","3 2 2","3 5 5"
17,"Male","US",1,1,1,4,5,3,5,5,4,1,5,1,5,4,5,"1, 1, 1","4, 5, 3","5 5 4","1 5 1","5 4 5"
26,"Female","GB",2,3,3,3,3,3,4,5,4,3,4,4,2,4,2,"2, 3, 3","3, 3, 3","4 5 4","3 4 4","2 4 2"
34,"Male","BE",4,3,4,5,5,4,5,5,5,4,5,4,5,5,5,"4, 3, 4","5, 5, 4","5 5 5","4 5 4","5 5 5"
21,"Female","ZA",1,5,5,1,3,1,5,3,3,5,5,5,4,5,4,"1, 5, 5","1, 3, 1","5 3 3","5 5 5","4 5 4"
26,"Female","US",5,5,3,1,1,1,5,2,4,4,4,4,4,5,4,"5, 5, 3","1, 1, 1","5 2 4","4 4 4","4 5 4"
22,"Female","NO",2,3,4,1,2,1,3,3,5,5,4,2,4,3,3,"2, 3, 4","1, 2, 1","3 3 5","5 4 2","4 3 3"
19,"Female","NO",1,2,2,5,5,4,4,5,3,2,4,2,4,3,3,"1, 2, 2","5, 5, 4","4 5 3","2 4 2","4 3 3"
19,"Male","FI",4,2,2,2,2,3,4,4,3,3,3,2,4,4,3,"4, 2, 2","2, 2, 3","4 4 3","3 3 2","4 4 3"
21,"Female","US",4,5,5,3,3,4,5,5,4,3,4,3,5,5,5,"4, 5, 5","3, 3, 4","5 5 4","3 4 3","5 5 5"
49,"Male","BE",3,5,4,3,3,1,5,4,5,4,5,5,4,4,5,"3, 5, 4","3, 3, 1","5 4 5","4 5 5","4 4 5"
18,"Female","US",3,4,5,4,4,3,5,5,5,4,5,4,5,5,5,"3, 4, 5","4, 4, 3","5 5 5","4 5 4","5 5 5"
32,"Female","US",1,2,1,4,4,4,3,4,3,4,3,4,3,4,2,"1, 2, 1","4, 4, 4","3 4 3","4 3 4","3 4 2"
60,"Female","US",1,5,5,4,4,4,5,5,5,2,5,5,5,5,5,"1, 5, 5","4, 4, 4","5 5 5","2 5 5","5 5 5"
22,"Female","IE",1,2,3,5,5,5,4,4,5,2,4,2,5,5,3,"1, 2, 3","5, 5, 5","4 4 5","2 4 2","5 5 3"
24,"Male","PL",1,1,2,2,2,2,2,1,3,4,4,4,3,5,4,"1, 1, 2","2, 2, 2","2 1 3","4 4 4","3 5 4"
16,"Female","BR",2,3,3,3,4,2,5,5,3,3,3,4,4,4,5,"2, 3, 3","3, 4, 2","5 5 3","3 3 4","4 4 5"
20,"Male","SK",2,2,3,4,4,3,3,2,3,3,3,2,4,4,4,"2, 2, 3","4, 4, 3","3 2 3","3 3 2","4 4 4"
47,"Female","US",3,3,3,2,3,2,4,4,4,2,3,3,4,4,4,"3, 3, 3","2, 3, 2","4 4 4","2 3 3","4 4 4"
15,"Female","US",2,2,3,5,4,2,3,3,3,4,4,4,3,5,3,"2, 2, 3","5, 4, 2","3 3 3","4 4 4","3 5 3"
17,"Female","US",1,3,3,4,5,3,2,2,3,3,4,1,3,3,1,"1, 3, 3","4, 5, 3","2 2 3","3 4 1","3 3 1"
13,"Female","US",5,5,5,1,1,1,5,5,5,5,5,5,5,5,5,"5, 5, 5","1, 1, 1","5 5 5","5 5 5","5 5 5"
16,"Female","HR",4,1,2,5,5,2,5,2,3,5,2,4,5,5,3,"4, 1, 2","5, 5, 2","5 2 3","5 2 4","5 5 3"
23,"Female","SA",1,2,4,3,2,2,3,2,4,4,2,1,3,3,3,"1, 2, 4","3, 2, 2","3 2 4","4 2 1","3 3 3"
30,"Female","US",5,5,5,3,3,1,5,5,5,4,3,3,4,4,5,"5, 5, 5","3, 3, 1","5 5 5","4 3 3","4 4 5"
17,"Female","US",3,4,5,4,5,2,5,4,4,1,4,4,5,4,5,"3, 4, 5","4, 5, 2","5 4 4","1 4 4","5 4 5"
20,"Female","US",2,3,3,4,4,3,4,4,4,4,3,4,4,3,3,"2, 3, 3","4, 4, 3","4 4 4","4 3 4","4 3 3"
25,"Male","US",2,2,4,4,5,4,4,4,2,4,4,4,5,4,4,"2, 2, 4","4, 5, 4","4 4 2","4 4 4","5 4 4"
27,"Male","BR",4,4,4,4,3,3,3,2,4,4,4,2,5,4,5,"4, 4, 4","4, 3, 3","3 2 4","4 4 2","5 4 5"
25,"Female","US",1,2,2,4,4,2,4,4,3,5,5,5,4,4,3,"1, 2, 2","4, 4, 2","4 4 3","5 5 5","4 4 3"
21,"Female","US",3,3,4,4,4,3,5,5,3,4,4,4,4,4,2,"3, 3, 4","4, 4, 3","5 5 3","4 4 4","4 4 2"
59,"Male","IE",1,4,4,1,2,2,4,4,3,3,2,4,5,3,5,"1, 4, 4","1, 2, 2","4 4 3","3 2 4","5 3 5"
30,"Female","US",4,5,4,2,2,2,5,4,4,4,5,3,5,5,5,"4, 5, 4","2, 2, 2","5 4 4","4 5 3","5 5 5"
37,"Female","US",5,5,5,1,3,5,3,2,5,1,1,3,1,5,5,"5, 5, 5","1, 3, 5","3 2 5","1 1 3","1 5 5"
27,"Female","NZ",2,3,3,5,5,3,4,4,4,3,3,3,4,3,4,"2, 3, 3","5, 5, 3","4 4 4","3 3 3","4 3 4"
41,"Female","US",2,3,2,4,4,4,4,4,3,5,5,5,3,4,3,"2, 3, 2","4, 4, 4","4 4 3","5 5 5","3 4 3"
18,"Male","GB",4,5,3,3,3,1,3,2,5,3,4,2,5,4,5,"4, 5, 3","3, 3, 1","3 2 5","3 4 2","5 4 5"
21,"Female","US",3,3,4,5,5,4,4,5,4,2,4,2,4,3,4,"3, 3, 4","5, 5, 4","4 5 4","2 4 2","4 3 4"
15,"Female","US",5,5,3,3,5,1,3,5,5,4,5,5,4,5,4,"5, 5, 3","3, 5, 1","3 5 5","4 5 5","4 5 4"
18,"Female","BR",2,1,4,5,4,4,2,3,3,3,4,3,5,4,5,"2, 1, 4","5, 4, 4","2 3 3","3 4 3","5 4 5"
20,"Male","GB",4,5,5,1,4,1,5,5,4,3,4,2,4,4,4,"4, 5, 5","1, 4, 1","5 5 4","3 4 2","4 4 4"
35,"Male","US",5,5,5,1,5,1,5,5,5,4,4,5,5,5,5,"5, 5, 5","1, 5, 1","5 5 5","4 4 5","5 5 5"
24,"Female","GB",2,2,3,4,4,3,3,3,2,1,3,1,4,3,3,"2, 2, 3","4, 4, 3","3 3 2","1 3 1","4 3 3"
33,"Female","US",5,4,5,5,4,4,5,5,2,1,3,4,3,4,4,"5, 4, 5","5, 4, 4","5 5 2","1 3 4","3 4 4"
20,"Female","PH",3,2,2,3,4,2,3,3,2,3,4,4,4,3,3,"3, 2, 2","3, 4, 2","3 3 2","3 4 4","4 3 3"
59,"Female","US",1,4,4,2,1,2,4,4,4,4,4,2,3,4,3,"1, 4, 4","2, 1, 2","4 4 4","4 4 2","3 4 3"
19,"Female","CA",5,5,5,4,5,2,3,3,4,2,4,3,5,3,4,"5, 5, 5","4, 5, 2","3 3 4","2 4 3","5 3 4"
26,"Male","BR",2,2,2,3,4,4,3,3,2,4,4,4,5,4,5,"2, 2, 2","3, 4, 4","3 3 2","4 4 4","5 4 5"
24,"Female","CA",3,4,4,3,3,2,3,5,5,5,5,5,5,5,4,"3, 4, 4","3, 3, 2","3 5 5","5 5 5","5 5 4"
31,"Female","US",5,5,5,4,4,4,5,5,5,3,3,3,5,5,5,"5, 5, 5","4, 4, 4","5 5 5","3 3 3","5 5 5"
30,"Female","US",1,3,3,4,5,2,5,5,5,2,3,1,5,4,5,"1, 3, 3","4, 5, 2","5 5 5","2 3 1","5 4 5"
18,"Female","US",1,2,2,4,5,4,3,2,2,4,5,3,4,3,3,"1, 2, 2","4, 5, 4","3 2 2","4 5 3","4 3 3"
24,"Female","US",3,4,3,4,5,3,4,4,5,5,5,5,5,4,4,"3, 4, 3","4, 5, 3","4 4 5","5 5 5","5 4 4"
13,"Female","US",4,5,4,2,3,2,5,5,4,4,5,4,5,5,5,"4, 5, 4","2, 3, 2","5 5 4","4 5 4","5 5 5"
19,"Female","US",3,5,5,3,3,1,5,5,4,3,2,2,3,4,4,"3, 5, 5","3, 3, 1","5 5 4","3 2 2","3 4 4"
20,"Female","US",2,2,2,5,5,3,2,2,4,4,4,2,4,4,4,"2, 2, 2","5, 5, 3","2 2 4","4 4 2","4 4 4"
13,"Female","US",3,4,4,2,5,4,4,5,2,4,4,4,4,4,4,"3, 4, 4","2, 5, 4","4 5 2","4 4 4","4 4 4"
16,"Female","US",4,3,5,4,2,3,2,3,3,1,2,1,4,3,5,"4, 3, 5","4, 2, 3","2 3 3","1 2 1","4 3 5"
17,"Female","AU",1,5,5,1,4,3,5,5,5,2,5,1,5,5,1,"1, 5, 5","1, 4, 3","5 5 5","2 5 1","5 5 1"
27,"Female","US",3,5,5,3,2,3,5,4,4,2,2,3,4,4,3,"3, 5, 5","3, 2, 3","5 4 4","2 2 3","4 4 3"
20,"Female","US",1,4,4,4,4,2,4,4,4,2,3,4,5,4,4,"1, 4, 4","4, 4, 2","4 4 4","2 3 4","5 4 4"
44,"Female","JP",2,3,4,4,2,4,4,5,4,2,2,4,3,4,3,"2, 3, 4","4, 2, 4","4 5 4","2 2 4","3 4 3"
21,"Female","CA",4,4,4,4,4,4,4,4,4,3,2,2,3,3,2,"4, 4, 4","4, 4, 4","4 4 4","3 2 2","3 3 2"
21,"Female","CA",3,4,5,3,4,4,5,4,4,5,4,4,3,5,4,"3, 4, 5","3, 4, 4","5 4 4","5 4 4","3 5 4"
23,"Male","IN",2,4,3,3,4,2,5,3,4,4,2,4,2,4,4,"2, 4, 3","3, 4, 2","5 3 4","4 2 4","2 4 4"
24,"Female","US",1,1,3,5,5,5,2,4,5,4,5,4,5,4,5,"1, 1, 3","5, 5, 5","2 4 5","4 5 4","5 4 5"
39,"Male","CA",2,2,4,2,4,2,4,4,4,3,2,3,4,4,4,"2, 2, 4","2, 4, 2","4 4 4","3 2 3","4 4 4"
45,"Female","US",1,2,2,4,4,3,5,4,2,4,5,3,3,5,4,"1, 2, 2","4, 4, 3","5 4 2","4 5 3","3 5 4"
45,"Female","US",3,5,5,3,3,3,5,5,4,3,3,1,3,4,3,"3, 5, 5","3, 3, 3","5 5 4","3 3 1","3 4 3"
20,"Male","US",3,5,5,2,4,1,5,5,5,3,5,4,5,4,5,"3, 5, 5","2, 4, 1","5 5 5","3 5 4","5 4 5"
21,"Female","US",2,2,3,5,5,4,3,4,3,3,4,5,5,3,4,"2, 2, 3","5, 5, 4","3 4 3","3 4 5","5 3 4"
23,"Female","ID",2,3,2,3,3,2,4,4,4,5,4,5,5,4,4,"2, 3, 2","3, 3, 2","4 4 4","5 4 5","5 4 4"
23,"Female","PH",2,5,4,4,5,4,5,5,5,5,4,5,5,5,5,"2, 5, 4","4, 5, 4","5 5 5","5 4 5","5 5 5"
22,"Female","US",1,3,1,5,5,5,2,5,3,1,4,1,5,3,4,"1, 3, 1","5, 5, 5","2 5 3","1 4 1","5 3 4"
16,"Female","US",4,5,5,4,4,4,5,4,5,3,4,4,4,5,5,"4, 5, 5","4, 4, 4","5 4 5","3 4 4","4 5 5"
20,"Male","AU",4,5,5,3,2,1,4,5,5,2,2,1,5,4,5,"4, 5, 5","3, 2, 1","4 5 5","2 2 1","5 4 5"
33,"Female","IN",2,4,4,1,2,2,4,5,5,4,4,4,2,4,4,"2, 4, 4","1, 2, 2","4 5 5","4 4 4","2 4 4"
17,"Female","AU",4,3,4,4,4,2,5,4,4,2,5,2,5,2,4,"4, 3, 4","4, 4, 2","5 4 4","2 5 2","5 2 4"
17,"Unanswered","CA",1,3,2,3,4,3,4,3,3,3,4,4,5,4,5,"1, 3, 2","3, 4, 3","4 3 3","3 4 4","5 4 5"
20,"Female","US",2,4,4,5,5,5,5,5,4,4,4,4,4,4,4,"2, 4, 4","5, 5, 5","5 5 4","4 4 4","4 4 4"
59,"Female","US",1,3,1,1,1,1,4,3,4,1,2,1,5,3,4,"1, 3, 1","1, 1, 1","4 3 4","1 2 1","5 3 4"
25,"Male","CA",5,4,5,1,3,2,5,5,5,4,4,5,5,5,5,"5, 4, 5","1, 3, 2","5 5 5","4 4 5","5 5 5"
18,"Female","AU",1,1,1,5,5,3,2,2,3,4,4,3,5,3,5,"1, 1, 1","5, 5, 3","2 2 3","4 4 3","5 3 5"
27,"Male","US",1,3,3,3,5,4,5,4,5,3,4,3,4,5,4,"1, 3, 3","3, 5, 4","5 4 5","3 4 3","4 5 4"
24,"Female","CA",3,2,1,3,4,3,4,4,3,2,4,3,3,3,3,"3, 2, 1","3, 4, 3","4 4 3","2 4 3","3 3 3"
29,"Male","US",5,5,5,1,5,1,5,4,5,5,5,1,5,5,5,"5, 5, 5","1, 5, 1","5 4 5","5 5 1","5 5 5"
16,"Female","US",2,3,3,1,2,1,3,2,5,5,4,4,4,3,4,"2, 3, 3","1, 2, 1","3 2 5","5 4 4","4 3 4"
29,"Male","US",2,3,4,2,4,2,4,5,3,3,4,4,4,4,4,"2, 3, 4","2, 4, 2","4 5 3","3 4 4","4 4 4"
33,"Female","US",2,2,5,5,5,5,3,4,3,3,2,1,5,1,5,"2, 2, 5","5, 5, 5","3 4 3","3 2 1","5 1 5"
21,"Male","IN",4,4,2,3,4,2,4,4,2,3,4,3,4,5,4,"4, 4, 2","3, 4, 2","4 4 2","3 4 3","4 5 4"
26,"Male","US",3,4,4,4,4,3,4,4,4,4,4,3,5,4,4,"3, 4, 4","4, 4, 3","4 4 4","4 4 3","5 4 4"
21,"Male","IN",1,2,3,2,3,4,4,4,3,2,4,2,4,4,5,"1, 2, 3","2, 3, 4","4 4 3","2 4 2","4 4 5"
26,"Female","IN",3,5,4,3,2,3,2,4,5,3,4,4,5,5,5,"3, 5, 4","3, 2, 3","2 4 5","3 4 4","5 5 5"
14,"Male","US",3,3,5,4,5,2,3,1,2,4,2,1,5,5,5,"3, 3, 5","4, 5, 2","3 1 2","4 2 1","5 5 5"
13,"Male","US",1,3,3,5,5,5,3,2,3,4,4,3,5,4,4,"1, 3, 3","5, 5, 5","3 2 3","4 4 3","5 4 4"
30,"Male","SE",4,5,5,1,1,1,5,5,5,5,5,1,5,5,5,"4, 5, 5","1, 1, 1","5 5 5","5 5 1","5 5 5"
27,"Male","US",3,2,4,5,5,4,4,4,4,2,4,3,4,5,4,"3, 2, 4","5, 5, 4","4 4 4","2 4 3","4 5 4"
